contigName	bin	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_1089_length_10338_cov_27.3241_ID_32565897	3	10338	3.95868	0.0333726	0.0359873	0.00186494	0.00186174	0	0	0.531311	0.338578	2.13388	1.95784	1.25824	1.28886
NODE_108_length_52263_cov_25.1765_ID_32411252	6	52263	3.886	1.14089	1.09074	0.850863	0.821196	1.04177	1.12047	0.016541	0.0181703	0.31495	0.390419	0.520983	0.55883
NODE_1092_length_10322_cov_31.0806_ID_23983050	3	10322	4.8895	0.0319505	0.0309242	0.0296893	0.0288118	0.0192686	0.0234215	0.858632	0.873927	2.28411	1.9539	1.66585	1.66191
NODE_1095_length_10319_cov_307.545_ID_31935097	2	10319	195.309	40.0847	41.7367	41.6611	60.7283	40.5348	73.4909	23.8238	28.7728	24.1326	40.9378	25.0722	36.012
NODE_1097_length_10314_cov_305.468_ID_23967563	2	10314	204.757	41.3726	81.4941	41.9882	73.8297	42.7568	82.5633	25.7255	46.3216	26.3476	47.1537	26.5659	46.5602
NODE_109_length_52184_cov_283.015_ID_31971868	2	52184	202.545	42.0333	70.7885	42.1847	65.7087	42.2928	70.1012	24.0882	33.5924	25.3184	34.9655	26.6277	41.261
NODE_11052_length_3129_cov_58.7921_ID_24322988	3	3129	4.65592	0	0	0.0493454	0.0469324	0	0	0.986237	1.39035	2.18295	2.26102	1.4374	1.24952
NODE_11069_length_3128_cov_268.107_ID_24104224	2	3128	203.656	42.4923	76.282	40.4379	66.27	39.2146	80.5167	27.0594	31.3437	28.2394	41.2169	26.2129	47.1268
NODE_1115_length_10179_cov_290.23_ID_23990585	2	10179	204.863	43.2355	62.0067	41.6741	57.122	42.8283	52.877	25.2496	27.2241	24.3235	27.7356	27.5522	36.0003
NODE_111_length_51263_cov_31.4536_ID_23928125	3	51263	4.43048	0.0243774	0.0246111	0.0527459	0.0557421	0.00956704	0.0102113	0.700076	0.674667	2.22362	2.25426	1.42009	1.50335
NODE_112_length_51185_cov_28.8953_ID_23915667	3	51185	4.50289	0.00587832	0.00584122	0.0176937	0.0192164	0.0146566	0.0144468	0.60919	0.684324	2.2474	2.64926	1.60807	2.00515
NODE_1135_length_10070_cov_30.5329_ID_23963212	3	10070	5.0997	0.0302419	0.0511068	0.0743952	0.0688598	0	0	0.958972	0.825015	2.1005	3.25262	1.93558	2.30403
NODE_113_length_50410_cov_33.0511_ID_32303375	3	50410	4.4043	0.0162555	0.0237862	0.0426781	0.0471795	0.0127736	0.0133722	0.66351	0.729633	2.18247	2.35401	1.48661	1.73518
NODE_1140_length_10009_cov_266.809_ID_23952303	2	10009	199.023	41.277	53.5843	41.274	52.867	40.7769	49.7649	24.503	28.4321	24.4311	28.7719	26.7609	32.6902
NODE_1142_length_10006_cov_312.025_ID_23954249	2	10006	203.423	39.9407	75.7621	41.9107	84.8941	43.4925	85.6384	25.3871	33.2441	25.7491	37.0214	26.9433	55.1902
NODE_11496_length_3079_cov_289.548_ID_24380420	2	3079	202.609	40.4302	57.0199	42.0758	59.2205	41.4469	58.0342	21.9396	39.2067	26.6658	59.0614	30.0505	44.249
NODE_114_length_49100_cov_265.904_ID_23911107	2	49100	200.945	40.7233	51.0647	42.3083	54.1807	41.9091	55.9956	24.0187	25.6844	26.0554	29.8653	25.9298	33.0955
NODE_1150_length_9931_cov_30.1232_ID_32358343	3	9931	4.5663	0	0	0.0767815	0.132218	0	0	1.06022	1.36493	2.21562	2.01026	1.21368	1.21285
NODE_1158_length_9863_cov_28.4524_ID_23990647	3	9863	4.43859	0.0310924	0.0301324	0	0	0	0	0.534747	0.634979	2.19592	2.18451	1.67682	1.36042
NODE_115_length_49037_cov_28.3276_ID_32128872	3	49037	4.13928	0.00885716	0.0145371	0.0259374	0.0296088	0.0184507	0.0188676	0.618815	0.667566	2.03432	2.29176	1.4329	1.63768
